TITLE,ARTISTS
adrenaline!!!,TrySail
ALIVE,ClariS
Always in my heart,山田タマル
ANiMA,xi
Anniversary,アルストロメリア
青空のラプソディ,fhána
Ascension to Heaven,xi
Awake Now,Vivid BAD SQUAD
Axium Crisis,ak+q
Believe,Kalafina
Believe in you,nonoc
Bunny Bunny Carrot Carrot,Mitsukiyo
Caelestinum Finale Termini,Yu-Peng Chen and HOYO-MiX
Chant of Nine Bows,HOYO-MiX
Colorful Dreams! Colorful Smiles!,虹ヶ咲学園スクールアイドル同好会
Cyberangel,HOYO-MiX feat. Hanser
Elogia Cinerosa,HOYO-MiX
Eutopia,鐘 嵐珠 (CV.法元明菜)
From Y to Y,Leo/need
FUTURITY SMILE,シャイニーカラーズ
Genshin Impact Main Theme,Yu-Peng Chen & HOYO-MiX
GHOST,星街すいせい
GR@TITUDE,Project LUMINOUS
Grievous Lady -nothing is but what is not-,Team Grimoire and Laur
はじまりのSignal,メジロマックイーン (CV. 大西沙織)
花の塔,さユり
光の道標,鹿乃
カナデトモスソラ,25時、ナイトコードで。
鼓動,カグラナナ
ここで生きてる,めありー
リテラチュア,上田麗奈
Magical Melody,TRINITYAiLE
Moon Halo,HOYO-MiX
Nightglow,Tanya Chua
PARADOX,雨宮天
Parousia,xi
Rage Beneath the Mountains,Yu-Peng Chen and HOYO-MiX
RE Aoharu,Nor
Regression,Ayanga and HOYO-MiX
Ring Your Bell,Kalafina
Rubia,HOYO-MiX and Zhou Shen
Saltatio Favillae,HOYO-MiX
3時12分,星街すいせい and TAKU INOUE
Sincerely,TRUE
song for you,長瀬麻奈 (CV:神田沙也加)
空色♡ Birthday Card,LOVERS HEART
To The Beginning,Kalafina
TruE,HOYO-MiX
Utopiosphere,Mili
Violet's Letter,Evan Call
夢にかけるRainbow,765 MILLION ALLSTARS
残響散歌,Aimer
