FORMAT,TITLE,YOUTUBE,URL
audio,(Cover) Shukufuku 祝福 (The Blessing) by misono mika | Blue archive,https://youtu.be/E5GyBnk8tO0,https://tinyurl.com/2ksubbty
audio,(Cover) Shukufuku 祝福 (The Blessing) by misono mika | Blue archive,https://youtu.be/E5GyBnk8tO0,https://tinyurl.com/2k98ljmv
audio,(Cover) Shukufuku 祝福 (The Blessing) by misono mika | Blue archive,https://youtu.be/E5GyBnk8tO0,https://tinyurl.com/2pt94h86
audio,(Cover) Shukufuku 祝福 (The Blessing) by misono mika | Blue archive,https://youtu.be/E5GyBnk8tO0,https://tinyurl.com/2hwyfqlz
video,(Cover) Shukufuku 祝福 (The Blessing) by misono mika | Blue archive,https://youtu.be/E5GyBnk8tO0,https://tinyurl.com/2gfhc74r
audio,[Blue Archive] Kyrie Eleison | OST [1 Hour Loop],https://youtu.be/AIrIB1YE_Ik,https://tinyurl.com/2gzsg7ol
video,Aimer - 残響散歌 / THE FIRST TAKE,https://youtu.be/bnzPJhW9XQg,https://tinyurl.com/28wfhu3p
video,Aimer - 残響散歌 / THE FIRST TAKE,https://youtu.be/bnzPJhW9XQg,https://tinyurl.com/2fmpyy6s
video,Da Capo — Honkai Impact 3rd Theme Song,https://youtu.be/9iFDPYubUbE,https://tinyurl.com/2fad8xtn
video,fhána / Hello!My World!! -MUSIC VIDEO-（TVアニメ『ナイツ＆マジック』OP主題歌）,https://youtu.be/EQNE-VwOl04,https://tinyurl.com/29lt5ewk
video,fhána / 青空のラプソディ - MUSIC VIDEO,https://youtu.be/maKok2RItxM,https://tinyurl.com/24ybs4b7
video,fhána / 青空のラプソディ - MUSIC VIDEO,https://youtu.be/maKok2RItxM,https://tinyurl.com/2ldya3zw
video,FLOW   SIGN 2020,https://youtu.be/GBKRFb2toVc,https://tinyurl.com/2yzvqhzj
video,FLOW - Sign / THE FIRST TAKE,https://youtu.be/6xhkI8pZlC8,https://tinyurl.com/28am9ho8
audio,FLOW - Sign / THE FIRST TAKE,https://youtu.be/6xhkI8pZlC8,https://tinyurl.com/25tlwb5r
video,Nephrite of Deshret,https://youtu.be/GO4tzRMNRl4,https://tinyurl.com/2pqhz7od
audio,Persona 4 - Specialist,https://youtu.be/fTczCpIaLAU,https://tinyurl.com/22rfwcn7
video,Scaramouche Boss Theme (All Phases) - Genshin Impact 3.2 OST,https://youtu.be/3MRH8jeTpPk,https://tinyurl.com/2pdb9vsd
video,Swift in 100 Seconds,https://youtu.be/nAchMctX4YA,https://tinyurl.com/26lxkdrv
video,The BEST NieR: Automata Music Piano Medley - Weight of the World / Vague Hope / City Ruins .. -,https://youtu.be/-ERVMWSj9CM,https://tinyurl.com/22jwraeq
video,【3Dライブ（4K対応）】song for you / 長瀬麻奈（CV:神田沙也加）2022年3月アイプラフェス衣装ver.【IDOLY PRIDE/アイプラ】,https://youtu.be/jhJN-nIs8zo,https://tinyurl.com/2adhfoyz
video,【ウマ娘】はじまりのSignal【4K 60FPS】,https://youtu.be/KiSc1UxKj0g,https://tinyurl.com/2z8m3492
video,【原神】キャラクター実戦紹介　キャンディス(CV：柚木涼香)「守りを誓った盾」,https://youtu.be/CxJlmNe9V2Q,https://tinyurl.com/2oeez3fa
video,星街すいせい - みちづれ / THE FIRST TAKE,https://youtu.be/szONkV3l21g,https://tinyurl.com/2ylrj4j7
video,블루 아카이브 OST - Constant Moderato ~ Theme 87 (오케스트라 버전),https://youtu.be/RxX-UwMIVgA,https://tinyurl.com/2jgmwuxb
